Original Text,TF-IDF Keywords
"Urban or localized flooding due to the accumulation or impounding of rainwater in low-lying areas, densely populated locations with poor drainage, as well as riverside and coastal areas affected by tides, is possible in the downstream portions of nearby towns and the city.","urban(0.20), localized(0.20), flooding(0.12), accumulation(0.22), impounding(0.24), rainwater(0.24), low(0.12), lying(0.14), areas(0.18), locations(0.24), poor(0.19), drainage(0.16), riverside(0.21), coastal(0.17), affected(0.19), tides(0.22), possible(0.12), downstream(0.22), nearby(0.15), towns(0.24), city(0.22), localized flooding(0.21), low lying(0.14), lying areas(0.15), poor drainage(0.21), coastal areas(0.17), nearby towns(0.24)"
Light to moderate rain is expected in several areas; people should be cautious.,"areas(0.18), light(0.19), moderate(0.19), rain(0.21), expected(0.26), people(0.30), light moderate(0.21), moderate rain(0.28), rain expected(0.38), expected areas(0.46), areas people(0.46)"
Flooding along rivers and low places is possible; take precautions.,"flooding(0.23), low(0.25), possible(0.25), rivers(0.33), places(0.32), precautions(0.41), low places(0.47), places possible(0.47)"
"People living near mountain slopes and low-lying areas of the mentioned river systems, as well as local disaster councils, are advised to stay alert for flashfloods and landslides.","low(0.12), lying(0.13), areas(0.09), low lying(0.13), lying areas(0.14), people(0.15), living(0.19), near(0.15), mountain(0.17), slopes(0.17), mentioned(0.16), river(0.13), systems(0.15), local(0.13), disaster(0.14), councils(0.15), advised(0.12), stay(0.16), alert(0.15), flashfloods(0.18), landslides(0.13), people living(0.19), living near(0.19), near mountain(0.18), mountain slopes(0.18), slopes low(0.18), areas mentioned(0.18), mentioned river(0.18), river systems(0.18), systems local(0.22), local disaster(0.15), disaster councils(0.21), councils advised(0.23), advised stay(0.20), stay alert(0.18), flashfloods landslides(0.22)"
"Flooding is expected in some places, including road flooding and water buildup in low-lying residential areas.","flooding(0.35), low(0.19), lying(0.21), areas(0.14), low lying(0.21), expected(0.20), places(0.25), including(0.36), road(0.34), water(0.22), buildup(0.34), flooding expected(0.33), water buildup(0.34)"
Residents and the Local Disaster Risk Reduction and Management Councils adjacent to and/or along the above-mentioned areas of concern are advised to maintain vigilance and take appropriate precautionary measures to mitigate the impacts of possible landslides and river floods within the river basins.,"areas(0.07), possible(0.09), mentioned(0.13), river(0.20), local(0.11), disaster(0.11), councils(0.12), advised(0.10), landslides(0.10), local disaster(0.12), residents(0.13), risk(0.11), reduction(0.12), management(0.12), adjacent(0.15), concern(0.16), maintain(0.18), vigilance(0.18), appropriate(0.18), precautionary(0.12), measures(0.12), mitigate(0.13), impacts(0.12), floods(0.11), basins(0.13), residents local(0.17), disaster risk(0.12), risk reduction(0.12), reduction management(0.12), management councils(0.12), councils adjacent(0.18), adjacent mentioned(0.17), mentioned areas(0.17), areas concern(0.18), concern advised(0.18), advised maintain(0.18), maintain vigilance(0.18), vigilance appropriate(0.18), appropriate precautionary(0.18), precautionary measures(0.12), measures mitigate(0.13), mitigate impacts(0.18), impacts possible(0.13), possible landslides(0.17), landslides river(0.15), river floods(0.15), floods river(0.16), river basins(0.13)"
Heavy rainfall outlook due to Shear line in northern provinces Wednesday noon to Thursday noon.,"heavy(0.12), rainfall(0.13), outlook(0.23), shear(0.20), line(0.20), northern(0.19), provinces(0.19), wednesday(0.21), noon(0.39), thursday(0.27), heavy rainfall(0.17), rainfall outlook(0.23), outlook shear(0.23), shear line(0.20), line northern(0.26), northern provinces(0.26), wednesday noon(0.23), noon thursday(0.27), thursday noon(0.27)"
Severe rainfall may cause soil erosion and slope collapse in multiple regions.,"rainfall(0.20), severe(0.37), cause(0.36), slope(0.41), multiple(0.44), regions(0.38), rainfall cause(0.44)"
People living near the mountain slopes and in the low-lying areas of the above-mentioned river systems are still advised to take necessary precautionary measures.,"low(0.14), lying(0.15), areas(0.10), low lying(0.15), lying areas(0.16), people(0.17), living(0.21), near(0.18), mountain(0.19), slopes(0.19), mentioned(0.18), river(0.14), systems(0.17), advised(0.14), people living(0.21), living near(0.22), near mountain(0.21), mountain slopes(0.20), slopes low(0.20), areas mentioned(0.21), mentioned river(0.21), river systems(0.20), precautionary(0.18), measures(0.18), precautionary measures(0.18), necessary(0.20), systems advised(0.23), advised necessary(0.22), necessary precautionary(0.21)"
"Heavy rainfall outlook due to Shear line in the valley, eastern areas, northern highlands, and northern highlands Wednesday noon to Thursday noon.","areas(0.08), heavy(0.08), rainfall(0.09), outlook(0.17), shear(0.14), line(0.14), northern(0.28), wednesday(0.16), noon(0.29), thursday(0.20), heavy rainfall(0.12), rainfall outlook(0.17), outlook shear(0.17), shear line(0.14), wednesday noon(0.17), noon thursday(0.20), thursday noon(0.20), valley(0.17), eastern(0.15), highlands(0.39), valley eastern(0.18), eastern areas(0.18), areas northern(0.17), northern highlands(0.39), highlands northern(0.20)"
Landslide likely in moderate to highly susceptible areas.,"areas(0.16), moderate(0.18), landslide(0.36), likely(0.33), highly(0.39), susceptible(0.43), highly susceptible(0.43), susceptible areas(0.43)"
Local Flooding is likewise possible in some areas due to impounding of water and poor/clogged drainage systems.,"flooding(0.15), impounding(0.31), areas(0.12), poor(0.25), drainage(0.22), possible(0.16), systems(0.21), local(0.19), water(0.20), clogged(0.30), local flooding(0.31), possible areas(0.30), water poor(0.30), poor clogged(0.30), clogged drainage(0.30), drainage systems(0.26)"
"The public and the Local Disaster Risk Reduction and Management Councils concerned are advised to remain vigilant, take necessary precautionary measures, and continue monitoring for updates, particularly heavy rainfall warnings and/or rainfall advisories or thunderstorm advisories issued by the","local(0.11), disaster(0.11), councils(0.12), advised(0.10), local disaster(0.12), risk(0.11), reduction(0.12), management(0.12), precautionary(0.13), measures(0.13), disaster risk(0.12), risk reduction(0.12), reduction management(0.12), management councils(0.13), precautionary measures(0.13), heavy(0.08), rainfall(0.17), heavy rainfall(0.11), necessary(0.14), necessary precautionary(0.15), public(0.13), concerned(0.15), remain(0.16), vigilant(0.16), continue(0.11), monitoring(0.12), updates(0.13), particularly(0.15), warnings(0.15), advisories(0.29), thunderstorm(0.14), issued(0.13), public local(0.14), councils concerned(0.15), concerned advised(0.15), advised remain(0.18), remain vigilant(0.18), vigilant necessary(0.17), continue monitoring(0.13), monitoring updates(0.14), updates particularly(0.16), particularly heavy(0.17), rainfall warnings(0.16), warnings rainfall(0.17), rainfall advisories(0.16), advisories thunderstorm(0.17), thunderstorm advisories(0.16), advisories issued(0.16)"
Local government units advise preemptive evacuation if conditions continue to worsen.,"local(0.25), continue(0.25), government(0.42), advise(0.42), evacuation(0.34), conditions(0.34), worsen(0.36), local government(0.42)"
Community assistance teams ready for deployment; evacuation centers prepared.,"evacuation(0.51), community(0.62), teams(0.59)"
Authorities warn that overflowing rivers may inundate nearby barangays.,"nearby(0.39), rivers(0.44), authorities(0.62), barangays(0.52)"
More areas will get light to moderate rain within the next 2–3 hours.,"areas(0.30), light(0.32), moderate(0.33), rain(0.36), light moderate(0.36), moderate rain(0.48), hours(0.47)"
Light to moderate rain is happening now and may reach nearby places.,"nearby(0.26), light(0.17), moderate(0.18), rain(0.19), light moderate(0.19), moderate rain(0.26), places(0.29), happening(0.38), reach(0.38), rain happening(0.42), nearby places(0.42)"
