Row ID,Original Advisory,Level,Keywords Extracted
1,Flooding is possible,0,"flooding possible(0.76), possible(0.48), flooding(0.44)"
2,"Light to moderate rains are expected over the area, nearby provinces, nearby areas, low-lying areas and northern areas",0,"nearby(0.36), areas(0.33), areas low(0.26), areas northern(0.26), nearby provinces(0.26), rains expected(0.26), northern areas(0.25), nearby areas(0.22), area(0.21), northern(0.21), moderate rains(0.20), provinces(0.20), lying areas(0.18), low lying(0.17), lying(0.17), expected(0.16), low(0.15), rains(0.15), light moderate(0.14), moderate(0.12), light(0.12)"
3,Light to moderate rains affecting the vicinity and may affect nearby areas.,0,"rains affecting(0.37), affect nearby(0.34), affecting(0.34), vicinity(0.34), affect(0.31), nearby areas(0.31), moderate rains(0.29), nearby(0.26), rains(0.22), light moderate(0.20), moderate(0.18), light(0.18), areas(0.15)"
4,"Light to moderate rains are expected over the rest of upland areas, rest of the valley, and rest of mountainous areas within the next 2 to 3 hours.",0,"rest(0.72), expected rest(0.24), mountainous areas(0.23), upland(0.23), upland areas(0.23), rains expected(0.21), mountainous(0.20), valley(0.20), areas(0.18), moderate rains(0.17), hours(0.14), expected(0.13), rains(0.12), light moderate(0.11), moderate(0.10), light(0.10)"
5,Light to moderate rains and thunderstorms are forecast within 12 hours.,0,"forecast 12(0.37), rains thunderstorms(0.37), thunderstorms forecast(0.37), 12(0.32), 12 hours(0.32), forecast(0.27), moderate rains(0.26), thunderstorms(0.26), hours(0.22), rains(0.19), light moderate(0.17), moderate(0.16), light(0.16)"
6,Light to occasionally moderate rains and thunderstorms are forecast within 12 hours.,0,"forecast 12(0.32), light occasionally(0.32), occasionally moderate(0.32), rains thunderstorms(0.32), thunderstorms forecast(0.32), occasionally(0.30), 12(0.28), 12 hours(0.28), forecast(0.23), moderate rains(0.22), thunderstorms(0.22), hours(0.19), rains(0.16), moderate(0.13), light(0.13)"
7,"Light to Moderate rains are expected over, , the rest of, the rest of, the rest of, the rest of, and within the next 2 to 3 hours.",0,"rest(0.90), expected rest(0.23), rains expected(0.20), moderate rains(0.16), hours(0.14), expected(0.12), rains(0.12), light moderate(0.11), moderate(0.09), light(0.09)"
8,"Local flooding is possible in some areas due to impounded water and poor/clogged drainage systems, and residents are advised to continue monitoring updates from PAGASA",0,"areas impounded(0.23), impounded(0.23), impounded water(0.23), residents advised(0.23), updates pagasa(0.23), clogged(0.22), clogged drainage(0.22), local flooding(0.22), poor clogged(0.22), possible areas(0.22), water poor(0.22), flooding possible(0.19), monitoring updates(0.19), pagasa(0.19), drainage systems(0.18), poor(0.18), continue monitoring(0.17), residents(0.17), updates(0.17), monitoring(0.16), drainage(0.15), systems(0.15), water(0.15), continue(0.14), local(0.14), advised(0.13), possible(0.12), flooding(0.11), areas(0.09)"
9,Patuloy na bumababa ang lebel ng tubig sa mga maliliit at malalaking ilog,0,"ilog(0.26), lebel(0.26), lebel ng(0.26), malalaking(0.26), malalaking ilog(0.26), mga(0.26), na(0.26), ng tubig(0.26), patuloy(0.26), sa mga(0.26), tubig(0.26), tubig sa(0.26), ang(0.25), ng(0.25), sa(0.25)"
10,Light to moderate rains were still observed over the past 12 hours but are expected to intensify today. Heavy to intense rains are forecast to pour over the basin from this morning until the next 24 hours.,0,"hours(0.32), rains(0.27), intensify(0.26), past(0.26), rains forecast(0.26), morning(0.25), rains observed(0.25), heavy intense(0.24), observed(0.24), 12(0.23), 12 hours(0.23), intense(0.23), basin(0.22), forecast(0.19), today(0.19), moderate rains(0.18), expected(0.14), light moderate(0.12), heavy(0.11), moderate(0.11), light(0.11)"
11,"Light to moderate rains are expected over central plains, the region, nearby areas, the area and the metropolitan area.",0,"area(0.42), areas area(0.30), plains region(0.30), central plains(0.26), rains expected(0.26), metropolitan(0.25), metropolitan area(0.25), central(0.24), plains(0.23), region(0.23), nearby areas(0.21), moderate rains(0.20), nearby(0.18), expected(0.16), rains(0.15), light moderate(0.14), moderate(0.12), light(0.12), areas(0.11)"
12,"Light to moderate rains affecting northern areas, low-lying areas and the vicinity and may affect nearby areas.",0,"areas(0.32), affecting northern(0.28), areas vicinity(0.26), areas low(0.25), rains affecting(0.25), northern areas(0.25), affect nearby(0.24), affecting(0.24), vicinity(0.24), affect(0.21), nearby areas(0.21), northern(0.21), moderate rains(0.20), lying areas(0.18), nearby(0.18), low lying(0.16), lying(0.16), low(0.15), rains(0.15), light moderate(0.14), moderate(0.12), light(0.12)"
13,"Light to moderate with occasional heavy rains are expected over the region, the peninsula, the metropolitan area, the area, the province and nearby provinces.",0,"area(0.39), area area(0.27), area province(0.27), peninsula(0.24), moderate occasional(0.23), nearby provinces(0.23), rains expected(0.23), metropolitan(0.23), metropolitan area(0.23), occasional heavy(0.23), province(0.21), occasional(0.21), region(0.21), heavy rains(0.19), provinces(0.19), nearby(0.17), expected(0.15), rains(0.14), light moderate(0.13), heavy(0.12), moderate(0.11), light(0.11)"
14,"Light to moderate with occasional heavy rains affecting northern areas, the vicinity, nearby areas, coastal areas, low-lying areas and central plains and may affect nearby areas.",0,"areas(0.38), nearby areas(0.30), nearby(0.25), vicinity nearby(0.21), affecting northern(0.19), areas central(0.19), areas vicinity(0.19), areas low(0.18), central plains(0.18), moderate occasional(0.18), rains affecting(0.18), northern areas(0.17), occasional heavy(0.17), affect nearby(0.17), affecting(0.17), vicinity(0.17), central(0.16), occasional(0.16), plains(0.16), affect(0.15), coastal areas(0.15), northern(0.15), coastal(0.14), heavy rains(0.14), lying areas(0.13), low lying(0.12), lying(0.12), low(0.11), rains(0.10), light moderate(0.10), heavy(0.09), moderate(0.09), light(0.09)"
15,"Light to moderate with occasional heavy rains are expected over low-lying areas, the area, the metropolitan area, the region and central plains.",0,"area(0.39), areas area(0.28), central plains(0.24), moderate occasional(0.24), rains expected(0.24), metropolitan(0.23), metropolitan area(0.23), occasional heavy(0.23), central(0.22), occasional(0.21), plains(0.21), region(0.21), heavy rains(0.19), lying areas(0.17), low lying(0.16), lying(0.16), expected(0.15), low(0.14), rains(0.14), light moderate(0.13), heavy(0.12), moderate(0.12), light(0.12), areas(0.10)"
16,"Light to moderate with occasional heavy rains affecting nearby provinces, the peninsula, the province, coastal areas and nearby areas and may affect nearby areas.",0,"nearby(0.44), nearby areas(0.35), areas(0.26), affecting nearby(0.23), peninsula(0.22), moderate occasional(0.21), nearby provinces(0.21), rains affecting(0.21), occasional heavy(0.20), affect nearby(0.20), affecting(0.20), province(0.19), occasional(0.19), affect(0.17), coastal areas(0.17), coastal(0.17), heavy rains(0.16), provinces(0.16), rains(0.12), light moderate(0.11), heavy(0.10), moderate(0.10), light(0.10)"
17,"Light to moderate rains was observed over the vicinity, nearby provinces, nearby areas, the area and low-lying areas for the past 3 hours. With this development all RAINFALL WARNING in these areas are now terminated.",0,"nearby(0.30), areas(0.27), area low(0.24), areas area(0.24), development(0.24), past(0.24), vicinity nearby(0.24), rainfall warning(0.23), rains observed(0.23), observed(0.22), nearby provinces(0.21), vicinity(0.20), warning(0.20), nearby areas(0.18), area(0.17), moderate rains(0.17), provinces(0.17), lying areas(0.15), hours(0.14), low lying(0.14), lying(0.14), low(0.12), rains(0.12), rainfall(0.11), light moderate(0.11), moderate(0.10), light(0.10)"
18,"Meanwhile, expect light to moderate rains over central plains, the region, coastal areas, the peninsula and the vicinity within the next 3 hours.",0,"plains region(0.32), expect light(0.29), peninsula(0.29), central plains(0.28), expect(0.28), vicinity(0.27), central(0.26), plains(0.25), region(0.25), coastal areas(0.23), coastal(0.23), moderate rains(0.22), hours(0.19), rains(0.17), light moderate(0.15), moderate(0.14), light(0.14), areas(0.12)"
19,"Light to moderate with occasional heavy rains affecting the metropolitan area, the province, low-lying areas and northern areas which may persist within 3 hours and may affect nearby areas.",0,"areas(0.26), area province(0.23), areas persist(0.21), hours affect(0.21), areas northern(0.20), moderate occasional(0.20), persist hours(0.20), rains affecting(0.20), metropolitan(0.20), metropolitan area(0.20), northern areas(0.20), occasional heavy(0.20), affect nearby(0.19), affecting(0.19), province(0.19), occasional(0.18), persist(0.18), affect(0.17), nearby areas(0.17), area(0.17), northern(0.17), heavy rains(0.16), lying areas(0.14), nearby(0.14), hours(0.14), low lying(0.13), lying(0.13), low(0.12), rains(0.12), light moderate(0.11), heavy(0.10), moderate(0.10), light(0.10)"
20,"Meanwhile, light to moderate with occasional heavy rains affecting northern areas, the region, the province, the metropolitan area, the peninsula, coastal areas, central plains, nearby provinces and low-lying areas which may persist within 3 hours.",0,"areas(0.23), affecting northern(0.20), areas central(0.20), areas persist(0.19), areas region(0.19), peninsula(0.19), central plains(0.18), moderate occasional(0.18), nearby provinces(0.18), persist hours(0.18), rains affecting(0.18), metropolitan(0.18), metropolitan area(0.18), northern areas(0.18), occasional heavy(0.18), affecting(0.17), central(0.17), province(0.17), occasional(0.16), persist(0.16), plains(0.16), region(0.16), area(0.15), coastal areas(0.15), northern(0.15), coastal(0.15), heavy rains(0.15), provinces(0.15), lying areas(0.13), nearby(0.13), hours(0.13), low lying(0.12), lying(0.12), low(0.11), rains(0.11), light moderate(0.10), heavy(0.09), moderate(0.09), light(0.09)"
21,"Meanwhile, light to moderate with occasional heavy rains affecting the province, the region, coastal areas, the peninsula, central plains, nearby provinces and northern areas which may persist within 3 hours.",0,"areas persist(0.23), peninsula(0.23), central plains(0.22), moderate occasional(0.22), nearby provinces(0.22), persist hours(0.22), rains affecting(0.22), northern areas(0.21), occasional heavy(0.21), affecting(0.20), central(0.20), province(0.20), occasional(0.19), persist(0.19), plains(0.19), region(0.19), areas(0.18), coastal areas(0.18), northern(0.18), coastal(0.18), heavy rains(0.17), provinces(0.17), nearby(0.15), hours(0.15), rains(0.13), light moderate(0.12), heavy(0.11), moderate(0.11), light(0.10)"
22,"Meanwhile, light to moderate with occasional heavy rains affecting northern areas, central plains, the region, coastal areas and the peninsula which may persist within 3 hours.",0,"plains region(0.25), affecting northern(0.24), areas central(0.24), peninsula(0.23), central plains(0.22), moderate occasional(0.22), persist hours(0.22), rains affecting(0.22), northern areas(0.21), occasional heavy(0.21), affecting(0.21), central(0.20), occasional(0.20), persist(0.20), plains(0.20), region(0.20), areas(0.19), coastal areas(0.18), northern(0.18), coastal(0.18), heavy rains(0.17), hours(0.15), rains(0.13), light moderate(0.12), heavy(0.11), moderate(0.11), light(0.11)"
23,Local Flooding is likewise possible in some areas due to impounding of water and poor/clogged drainage systems.,0,"impounding(0.32), clogged(0.30), clogged drainage(0.30), local flooding(0.30), poor clogged(0.30), possible areas(0.30), water poor(0.30), drainage systems(0.25), poor(0.24), drainage(0.21), systems(0.21), water(0.20), local(0.19), possible(0.17), flooding(0.15), areas(0.12)"
24,Scattered rains are likely on the river basin but will not cause adverse hydrological impact.,0,"scattered(0.42), adverse(0.41), basin(0.41), cause(0.41), likely(0.39), river(0.30), rains(0.26)"
25,Continue monitoring for Thunderstorms Advisories and Rainfall Advisories specific in your area and other products issued by PAGASA.,0,"advisories(0.47), area products(0.26), issued pagasa(0.26), products(0.26), products issued(0.26), rainfall advisories(0.26), specific(0.26), specific area(0.26), pagasa(0.23), issued(0.22), continue monitoring(0.21), area(0.20), monitoring(0.19), thunderstorms(0.19), continue(0.16), rainfall(0.13)"
26,The Southwest Monsoon is no longer expected to cause flooding in the river basins.,0,"cause flooding(0.31), expected cause(0.31), longer(0.31), longer expected(0.31), monsoon longer(0.31), southwest(0.31), southwest monsoon(0.31), monsoon(0.29), cause(0.25), basins(0.23), river basins(0.23), river(0.18), expected(0.17), flooding(0.15)"
27,"Light with brief moderate rains were observed today at the midstream and downstream area of the basin and generally, receding river water level trend is observed.",0,"observed(0.49), brief moderate(0.27), midstream(0.27), midstream downstream(0.27), river water(0.27), brief(0.26), downstream(0.26), rains observed(0.26), basin(0.22), area(0.19), today(0.19), moderate rains(0.19), water(0.17), river(0.16), rains(0.14), moderate(0.11), light(0.11)"
28,"Light to occasionally moderate rains and thunderstorm activities are forecast to occur over the river basins, as anticipated effects of Intertropical Convergence Zone in the next few days.",0,"activities(0.24), anticipated(0.24), convergence(0.24), convergence zone(0.24), intertropical(0.24), intertropical convergence(0.24), light occasionally(0.24), occasionally moderate(0.24), occur river(0.24), zone(0.24), days(0.23), occasionally(0.23), effects(0.19), thunderstorm(0.19), occur(0.19), basins(0.19), river basins(0.19), forecast(0.18), moderate rains(0.17), river(0.15), rains(0.12), moderate(0.10), light(0.10)"
29,"Minimal to minor coastal flooding will likely affect in coastal areas of the city and nearby towns, including possibly the adjacent towns along coastal bays, due to high tide by early morning and afternoon time in the next coming days.",0,"coastal(0.42), towns(0.40), coming(0.20), coming days(0.20), early(0.20), including(0.20), nearby towns(0.20), city(0.19), days(0.19), flooding likely(0.19), minimal(0.19), morning(0.19), possibly(0.19), afternoon(0.18), minor(0.18), adjacent(0.17), likely(0.16), high tide(0.15), affect(0.15), coastal areas(0.14), tide(0.14), high(0.14), nearby(0.12), flooding(0.10), areas(0.07)"
30,The public and the Local Disaster Risk Reduction and Management Councils within the basin are still advised to remain vigilant and always maintain their preparedness and mitigating activities for possible hazards mentioned above that may possibly occur within their area of concern and to continue monitoring for all issued products and services included in rainfall watch system from,0,"activities(0.20), advised remain(0.20), maintain(0.20), possible hazards(0.20), preparedness(0.20), remain vigilant(0.20), watch(0.20), basin advised(0.19), concern(0.19), councils basin(0.19), possibly(0.19), products(0.19), vigilant(0.19), remain(0.18), hazards(0.17), basin(0.16), public local(0.16), issued(0.15), occur(0.15), continue monitoring(0.15), mentioned(0.15), disaster risk(0.14), management councils(0.14), public(0.14), reduction(0.14), reduction management(0.14), risk reduction(0.14), area(0.14), management(0.14), councils(0.14), local disaster(0.14), monitoring(0.14), disaster(0.13), risk(0.13), continue(0.12), local(0.12), advised(0.11), possible(0.11), rainfall(0.09)"
